                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6148,                 3.9898,                  1.931,                0.52568,                0.02183,                0.01886,                0.00673,                 2.6734,                 4.2756,                 2.0551,               0.067009,             0.00033324,             0.00033324
                      1,                 2.5554,                 3.7593,                 1.8787,                0.37186,                0.05139,                0.02639,                 0.0091,                 2.6548,                 3.8674,                 1.9749,               0.034007,             0.00066437,             0.00066437
                      2,                 2.5271,                 3.6977,                 1.8524,                0.24092,                0.05274,                0.02853,                0.01017,                 2.5778,                 3.7065,                 1.9231,              0.0010029,             0.00099331,             0.00099331
                      3,                  2.501,                  3.647,                 1.8284,                0.11752,                0.05339,                0.03616,                0.01293,                  2.541,                 3.6677,                 1.9165,              0.0009901,              0.0009901,              0.0009901
                      4,                  2.475,                 3.5968,                 1.8117,                0.11203,                0.06069,                0.03907,                  0.015,                 2.5114,                 3.6399,                 1.9203,              0.0009901,              0.0009901,              0.0009901
                      5,                  2.458,                 3.5603,                 1.8006,                0.11259,                0.05818,                0.03815,                0.01472,                 2.4994,                  3.629,                  1.862,              0.0009868,              0.0009868,              0.0009868
                      6,                 2.4436,                 3.5302,                 1.7925,                 0.2571,                0.06893,                0.03993,                0.01545,                 2.4799,                 3.6003,                 1.8765,              0.0009835,              0.0009835,              0.0009835
                      7,                 2.4315,                 3.5094,                 1.7857,                0.11305,                0.07862,                0.04226,                0.01595,                 2.4707,                 3.5799,                 1.8641,              0.0009802,              0.0009802,              0.0009802
                      8,                  2.425,                 3.4925,                 1.7788,                0.11495,                0.07762,                0.05097,                0.01937,                 2.4578,                 3.5536,                 1.8629,              0.0009769,              0.0009769,              0.0009769
                      9,                 2.4145,                 3.4783,                 1.7728,                0.12379,                0.08066,                0.04927,                0.01934,                 2.4517,                 3.5449,                 1.8487,              0.0009736,              0.0009736,              0.0009736
                     10,                 2.4099,                 3.4539,                 1.7634,                0.11352,                0.07994,                0.04875,                0.01925,                 2.4535,                 3.5335,                 1.8449,              0.0009703,              0.0009703,              0.0009703
                     11,                 2.4023,                 3.4372,                 1.7621,                0.13247,                0.08132,                0.05061,                0.02053,                 2.4356,                 3.5233,                 1.8362,               0.000967,               0.000967,               0.000967
                     12,                 2.3948,                 3.4264,                 1.7598,                 0.1295,                0.08397,                0.05267,                0.02124,                 2.4317,                 3.5099,                 1.8366,              0.0009637,              0.0009637,              0.0009637
                     13,                  2.384,                 3.4042,                 1.7517,                0.14062,                0.08614,                0.05315,                0.02158,                   2.43,                 3.5047,                 1.8362,              0.0009604,              0.0009604,              0.0009604
                     14,                 2.3822,                 3.3843,                 1.7486,                0.14013,                0.08811,                0.05467,                0.02222,                 2.4269,                  3.498,                 1.8363,              0.0009571,              0.0009571,              0.0009571
                     15,                 2.3786,                 3.3799,                 1.7446,                0.13465,                0.08845,                0.05708,                0.02307,                 2.4244,                 3.4941,                 1.8353,              0.0009538,              0.0009538,              0.0009538
                     16,                  2.376,                 3.3815,                 1.7414,                0.13486,                0.08876,                0.05602,                0.02279,                 2.4232,                 3.4912,                 1.8339,              0.0009505,              0.0009505,              0.0009505
