                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.3084,                 3.1935,                 1.6597,                0.11777,                0.07966,                0.05272,                0.02219,                  2.423,                 3.4671,                 1.8091,              0.0006832,              0.0006832,              0.0006832
                     34,                 2.3044,                 3.1914,                 1.6525,                0.14257,                0.08066,                0.05283,                0.02236,                 2.4229,                 3.4641,                 1.8089,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.3028,                 3.1818,                 1.6495,                0.16298,                0.08152,                0.05296,                0.02228,                 2.4228,                 3.4619,                 1.8086,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.2943,                 3.1749,                  1.648,                0.16249,                0.08142,                0.05313,                0.02237,                 2.4229,                 3.4595,                 1.8085,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.3032,                 3.1715,                 1.6489,                0.17306,                0.08275,                0.05346,                0.02259,                 2.4229,                 3.4578,                 1.8082,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.2883,                 3.1639,                 1.6477,                0.17543,                 0.0833,                0.05358,                0.02269,                 2.4221,                 3.4554,                 1.8078,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.2897,                 3.1524,                 1.6451,                0.17803,                 0.0848,                0.05401,                0.02297,                 2.4213,                 3.4528,                 1.8078,              0.0006238,              0.0006238,              0.0006238
                     40,                 2.2921,                 3.1629,                 1.6468,                0.17403,                0.08486,                0.05433,                0.02317,                 2.4205,                 3.4512,                 1.8072,              0.0006139,              0.0006139,              0.0006139
                     41,                 2.2887,                 3.1448,                  1.641,                0.15973,                0.08524,                0.05482,                0.02338,                 2.4202,                 3.4492,                 1.8067,               0.000604,               0.000604,               0.000604
                     42,                 2.2815,                 3.1334,                 1.6361,                0.14917,                0.08603,                0.05522,                0.02353,                 2.4187,                 3.4476,                  1.805,              0.0005941,              0.0005941,              0.0005941
