                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3429,                 4.9495,                 2.4136,                0.19644,                0.02518,                0.01078,                0.00355,                 2.3512,                 4.3909,                 2.6018,               0.070005,              0.0033327,              0.0033327
                      1,                 2.3064,                 4.3425,                 2.4142,                0.32911,                0.03118,                0.01599,                0.00541,                 2.3041,                  4.218,                 2.5981,               0.039675,              0.0063361,              0.0063361
                      2,                 2.3247,                 4.3619,                  2.458,                0.07402,                0.02169,                0.01644,                0.00581,                 2.3131,                 4.2763,                 2.5906,              0.0090154,              0.0090095,              0.0090095
                      3,                 2.3083,                 4.3296,                 2.4787,                 0.2419,                0.02531,                 0.0213,                0.00763,                 2.2474,                 4.1331,                 2.5708,               0.008515,               0.008515,               0.008515
                      4,                 2.2644,                 4.2048,                 2.4114,                0.27115,                0.04064,                0.02743,                0.01016,                 2.2246,                 4.0783,                 2.5151,               0.008515,               0.008515,               0.008515
                      5,                 2.2332,                 4.1096,                 2.3739,                0.12603,                0.04902,                0.03251,                0.01252,                 2.2016,                 4.0392,                 2.4899,                0.00802,                0.00802,                0.00802
                      6,                  2.212,                 4.0384,                 2.3377,                0.14128,                0.06021,                0.03652,                0.01436,                 2.1923,                  4.004,                 2.4675,               0.007525,               0.007525,               0.007525
                      7,                 2.1914,                  3.978,                 2.3241,                0.27762,                0.06709,                 0.0404,                0.01596,                 2.1829,                  3.957,                 2.4727,                0.00703,                0.00703,                0.00703
                      8,                 2.1733,                 3.9297,                 2.3024,                0.14185,                0.07348,                0.04595,                 0.0186,                 2.1658,                 3.9291,                 2.4626,               0.006535,               0.006535,               0.006535
                      9,                 2.1566,                 3.8665,                 2.2876,                0.12593,                0.08266,                0.04556,                0.01823,                 2.1583,                 3.9123,                 2.4586,                0.00604,                0.00604,                0.00604
                     10,                 2.1441,                 3.8243,                 2.2664,                0.17208,                0.08899,                0.04819,                0.01899,                 2.1569,                 3.8972,                 2.4439,               0.005545,               0.005545,               0.005545
                     11,                 2.1347,                 3.7856,                 2.2454,                0.12368,                0.09123,                 0.0514,                0.02046,                 2.1561,                 3.8782,                 2.4339,                0.00505,                0.00505,                0.00505
                     12,                 2.1228,                 3.7459,                  2.232,                0.16604,                0.09779,                0.05362,                0.02122,                 2.1543,                 3.8633,                 2.4306,               0.004555,               0.004555,               0.004555
                     13,                  2.112,                  3.708,                 2.2173,                0.15796,                0.10345,                0.05706,                0.02235,                 2.1532,                 3.8515,                 2.4291,                0.00406,                0.00406,                0.00406
                     14,                  2.101,                 3.6586,                    2.2,                0.17273,                0.10688,                0.05877,                0.02297,                 2.1539,                 3.8409,                 2.4291,               0.003565,               0.003565,               0.003565
                     15,                 2.0883,                 3.6226,                 2.1842,                0.17268,                0.10697,                0.05944,                0.02353,                 2.1532,                 3.8324,                 2.4262,                0.00307,                0.00307,                0.00307
                     16,                 2.0744,                 3.5815,                 2.1726,                0.17363,                 0.1072,                0.06062,                0.02392,                 2.1512,                 3.8261,                 2.4247,               0.002575,               0.002575,               0.002575
                     17,                 2.0656,                 3.5465,                 2.1621,                  0.165,                 0.1122,                0.06104,                 0.0239,                 2.1497,                 3.8202,                 2.4228,                0.00208,                0.00208,                0.00208
                     18,                 2.0513,                 3.5007,                 2.1476,                0.15435,                0.11302,                0.06147,                0.02407,                 2.1487,                 3.8167,                 2.4223,               0.001585,               0.001585,               0.001585
                     19,                 2.0425,                 3.4646,                 2.1315,                0.14991,                0.11515,                0.06186,                0.02455,                 2.1484,                  3.812,                 2.4214,                0.00109,                0.00109,                0.00109
